Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Democratic Guerrillas Force (DGF Kani),26 January 2023,26 January 2023,PDF,1,1,0,0,0,0
Depayin Urban War Task Force,10 July 2022,10 July 2022,PDF,1,1,0,0,0,0
Doh Yoe Yar Brotherhood,6 May 2022,6 May 2022,PDF,1,1,0,1,0,0
Dove PDF,5 June 2022,5 June 2022,PDF,1,1,0,0,0,0
Eagle One PDF - Kani,4 December 2022,4 December 2022,PDF,1,1,0,0,0,0
Eagle Operation PDF,6 June 2022,6 June 2022,PDF,1,1,0,0,0,0
Fire Fox Force,11 December 2021,11 December 2021,PDF,1,1,0,0,0,0
Forest Brothers PDF,2 March 2023,2 March 2023,PDF,1,1,0,0,40,0
Forest Hunter Group,17 May 2022,17 May 2022,PDF,1,1,0,0,0,0
Galon Min Task Force,24 August 2022,24 August 2022,PDF,1,1,0,0,7,0
GR-1,2 December 2022,2 December 2022,PDF,1,1,0,0,0,0
Hinthada District PDF,17 April 2023,4 May 2023,PDF,2,2,0,0,1,0
Hlaingthayar Lu Wa Gyi PDF,15 November 2022,15 November 2022,PDF,1,1,0,0,0,0
Hlaingthayar Region Defence Force (HRDF),31 May 2022,25 March 2023,PDF,1,2,0,0,0,0
Indaw Guerrilla Force,16 January 2023,2 March 2023,PDF,1,2,0,0,0,2
KA - Karenni Army,3 May 2022,3 May 2022,PDF,1,1,0,0,1,0
Kangyidaunt Revolution Force - KRF,30 August 2022,30 August 2022,PDF,1,1,0,0,0,0
Katha Drone Group,18 January 2023,18 January 2023,PDF,1,1,6,0,0,0
Katha PDF - Nyaung Chay Htauk,15 May 2022,15 May 2022,PDF,1,1,0,0,4,0
Kawthoung Urban Guerrilla Force,14 November 2022,15 March 2023,PDF,1,2,0,1,1,0
KB2 PDF - Kanbalu,2 March 2023,2 March 2023,PDF,1,1,0,0,40,0
Kungyangon PDF,1 July 2022,1 July 2022,PDF,1,1,0,0,0,0
Kyaiklat Ayer Baydar Force,23 August 2022,23 August 2022,PDF,1,1,0,0,0,0
Launglon People's Goal PDF,27 May 2022,27 May 2022,PDF,1,1,0,0,2,0
LRG PDF,19 June 2023,19 June 2023,PDF,1,1,0,0,3,0
Ma Gyee Taik Tain PDF,3 September 2022,3 September 2022,PDF,1,1,0,0,0,0
Madaya Heaven’s Revolution PDF,3 September 2022,25 April 2023,PDF,1,2,0,1,0,0
Mahuyar Daung Min PDF,25 January 2023,25 January 2023,PDF,1,1,0,0,0,0
Mandalay Independent Association,16 June 2022,16 June 2022,PDF,1,1,0,0,0,1
Mawgyun Special Task Force,26 May 2022,26 May 2022,PDF,1,2,0,0,0,0
MGN Hta Naung Myay Guerrilla Force,8 August 2022,8 August 2022,PDF,1,1,0,2,0,0
Mine Force PDF,12 February 2023,12 February 2023,PDF,1,1,0,0,10,0
Mirror PDF,2 March 2023,2 March 2023,PDF,1,1,0,0,3,0
Monywa District PDF - Kani (Special Women Commandos),24 July 2022,24 July 2022,PDF,1,1,0,0,0,0
More than 5 PDFs,28 April 2022,28 April 2022,PDF,1,1,0,0,14,0
National Defence Force - Pauk,13 September 2022,13 September 2022,PDF,1,1,0,5,0,0
National Liberation Army - NLA,24 March 2023,24 March 2023,PDF,1,1,0,0,0,0
National Security Force,21 October 2022,21 October 2022,PDF,2,2,0,0,0,0
North Thandaung (Special Area) U Ko Gyi Force,13 May 2022,13 May 2022,PDF,1,1,0,0,4,0
NUG Battalion 1221,20 June 2023,20 June 2023,PDF,1,1,0,0,30,0
Nyaung Young Fortress,30 August 2022,30 August 2022,PDF,1,1,0,0,0,0
Ocean Storm PDF,17 November 2022,17 November 2022,PDF,1,1,0,0,2,0
One Day LPDF,30 September 2022,30 September 2022,PDF,1,1,0,0,5,0
PDF Twantay Rangers,1 June 2022,2 June 2022,PDF,2,2,0,0,0,0
People Defence and Liberation Force - PDLF,13 June 2022,13 June 2022,PDF,1,1,0,0,2,0
People's Guerrilla Force Kyaukpadaung,31 May 2022,26 January 2023,PDF,1,2,0,2,0,2
People’s Defense Comrade,25 May 2023,25 May 2023,PDF,1,1,1,0,0,0
People’s Revolutionary Association (PRA),6 June 2022,6 June 2022,PDF,1,1,0,0,1,0
Phoenix Defence Battalion - PDB,20 April 2023,20 April 2023,PDF,1,1,0,0,0,0
Popa Guerilla Force,8 August 2022,8 August 2022,PDF,1,1,0,2,0,0
Pyinmana PDF,1 December 2022,1 December 2022,PDF,1,1,0,0,0,1
Ranger Urban Guerrillas - RUG,24 March 2023,24 March 2023,PDF,1,1,0,1,0,0
Rawt Malan HpyenLa - RMH,26 August 2022,26 August 2022,PDF,1,1,0,0,4,0
Royal God PDF,3 May 2023,3 May 2023,PDF,1,1,0,0,1,0
Sagaing Fighter PDF,4 March 2023,4 March 2023,PDF,1,1,0,0,3,0
Shadow Artillery PDF,26 January 2023,26 January 2023,PDF,1,1,0,0,0,0
Silver Coin N/Oka PDF,17 July 2022,17 July 2022,PDF,1,1,0,0,0,0
Sin Ton CDF,8 June 2022,8 June 2022,PDF,1,1,0,0,0,0
Special Guerrilla Force,25 June 2023,25 June 2023,PDF,1,1,0,0,0,0
Special Operation Force (SOF) Squad - 7 (Eagle Squad),27 August 2022,27 August 2022,PDF,1,1,0,0,0,0
Special Task Force (AB),7 June 2022,7 June 2022,PDF,1,1,0,0,0,0
Star Light (Dala),28 August 2022,28 August 2022,PDF,1,1,0,0,0,0
Ta Zauk Kan PDF,17 June 2022,17 June 2022,PDF,1,1,0,0,15,0
Tanintharyi District PDF,13 April 2023,13 April 2023,PDF,1,1,0,0,0,0
Thaketa Urban Guerrilla Force,24 June 2022,24 October 2022,PDF,1,2,0,0,0,0
Thin Gar Ma Zi Na (conqueror of war) PDF,12 May 2023,12 May 2023,PDF,1,1,0,0,0,0
Tiger Army PDF,10 May 2022,10 May 2022,PDF,1,1,0,0,0,0
Twantay Guerrilla Force,5 May 2022,16 May 2022,PDF,1,2,0,2,0,0
Twantay Royal Defence Force (TRDF),12 June 2022,12 June 2022,PDF,1,1,0,0,0,0
Underground Revolution Ninja Warriors﻿ (URNW),20 September 2022,20 September 2022,PDF,1,1,0,0,1,0
Underground Support Group - USG,18 May 2022,18 May 2022,PDF,1,1,0,0,0,0
Viper PDF,20 February 2023,20 February 2023,PDF,1,1,0,0,5,0
Yangon Division People's Battalion - YDPB,16 May 2022,8 December 2022,PDF,2,2,0,0,0,0
Yangon Heroes PDF,11 May 2022,11 May 2022,PDF,1,1,0,0,0,0
Yangon Underground Hlaingthayar - YUH,11 May 2022,11 May 2022,PDF,1,1,0,0,0,0
Yinmabin PDF,3 May 2022,3 May 2022,PDF,1,1,0,0,3,0
21 Union Eagles,18 July 2022,18 July 2022,PDF,1,1,0,0,0,0
5 Brothers Younger PDF,30 May 2022,30 May 2022,PDF,1,1,0,1,0,0
9 Kwins Fighters Force,8 December 2022,8 December 2022,PDF,1,1,0,0,2,0
Assam Rifles - AR,13 March 2023,13 March 2023,Other,1,1,0,0,0,0
Aung Tine San Guerrilla Force,21 January 2023,21 January 2023,PDF,1,1,0,0,1,0
Ayeyarwaddy Region Yoma Tiger PDF,21 May 2022,21 May 2022,PDF,1,1,0,1,0,0
B F R A -Wat Lat,1 December 2022,1 December 2022,PDF,1,1,0,0,2,0
Bahan's Guerrilla Force,21 August 2022,21 August 2022,PDF,1,1,0,0,0,0
Barbaric Dragon Guerilla Force,24 June 2022,24 June 2022,PDF,1,1,0,0,0,0
Black Dragon PDF - Tanintharyi,7 April 2023,7 April 2023,PDF,1,1,0,1,0,0
Black Eagle Defence Force – MMU,9 May 2022,9 May 2022,PDF,1,1,0,0,0,8
Black Hero,19 November 2022,19 November 2022,PDF,1,1,1,0,0,0
Black Rangers Force (BRF),7 January 2023,7 January 2023,PDF,1,1,0,0,0,0
Black Spider Guerrilla Force,15 December 2022,15 December 2022,PDF,1,1,0,0,2,0
Black Tiger Wundwin,22 December 2022,22 December 2022,PDF,1,1,0,0,0,0
Brave Eagles Revolution Force - BERF (Kani),3 May 2023,3 May 2023,PDF,1,1,0,0,3,0
Chin National Army (CNA),17 October 2022,17 October 2022,PDF,1,1,0,0,0,0
Chindwin Civil Defence Force,14 May 2022,14 May 2022,PDF,1,1,0,0,0,0
City Hunter (MDY UG),13 January 2023,13 January 2023,PDF,1,1,0,0,0,0
Confidential Location Defence Force (CLDF),2 October 2022,2 October 2022,PDF,1,1,0,0,0,0
Dae Wa Yat Kha Force,18 March 2023,18 March 2023,PDF,1,1,0,0,0,0
Danu Guerrilla Force (DGF),4 May 2022,4 May 2022,PDF,1,1,0,1,0,0
Daung Nat Ye Khaung PDF,15 January 2023,15 January 2023,PDF,1,1,0,0,0,0
Dedaye PDF,10 December 2022,10 December 2022,PDF,1,1,0,0,0,0
Defend of The Ayeyawaddy,18 October 2022,18 October 2022,PDF,1,1,0,1,0,0
Delta Revolutionary Force,3 March 2023,3 March 2023,PDF,1,1,0,2,0,0
Demoso Guerilla Force,10 March 2023,10 March 2023,PDF,1,1,0,0,0,0
Devil's Clan Urban Force,2 June 2023,2 June 2023,PDF,1,1,0,0,0,0
Eastern Dragon PDF,27 February 2023,27 February 2023,PDF,1,1,0,0,0,0
Falcon PDF-TYC,12 July 2022,12 July 2022,PDF,1,1,0,0,7,0
Fire Dragon Guerrilla Force (YGN),8 January 2023,8 January 2023,PDF,1,1,0,0,3,0
Five Revolutionary Giants,29 May 2022,29 May 2022,PDF,1,1,0,1,0,0
For the Yangon,22 April 2023,22 April 2023,PDF,1,1,0,1,0,0
Freedom From Fear Youths Guerrilla Force,10 June 2022,10 June 2022,PDF,1,1,0,1,0,0
From Zero to Hero,30 April 2022,30 April 2022,PDF,1,1,0,1,0,0
Giant Guard Underground,14 October 2022,14 October 2022,PDF,1,1,0,0,0,0
Golden Future Revolution Force (GFRF),20 June 2022,20 June 2022,PDF,1,1,0,0,3,0
Hmawbi Youths Army,11 October 2022,11 October 2022,PDF,1,1,0,0,0,0
Hpakant PDF,23 May 2023,23 May 2023,PDF,1,1,0,0,0,0
Indaw PDF - Me Zar,6 September 2022,6 September 2022,PDF,1,1,0,0,0,0
Justice Myanmar PDF,22 January 2022,22 January 2022,PDF,1,1,0,0,0,0
King Cobra Guerrilla Force (KCGF - Mandalay),17 August 2022,17 August 2022,PDF,1,1,0,0,1,0
KMD18,2 May 2023,2 May 2023,PDF,1,1,0,0,0,0
Kyangin PDF,6 October 2022,9 April 2023,PDF,1,2,0,0,0,0
Kyauk Htone Gyi Village Tract PDF,6 September 2022,6 September 2022,PDF,1,1,0,0,0,0
Kyaukme PDF,27 May 2022,27 May 2022,PDF,1,1,0,0,0,1
Kyonpyaw Special Task Force (KSTF),22 March 2023,22 March 2023,PDF,1,1,0,1,0,0
Labutta Special Task Force (LSTF),28 April 2022,28 April 2022,PDF,1,1,0,0,0,0
Lack of Shadow PDF,25 June 2022,25 June 2022,PDF,1,1,0,0,0,0
Little Heroes Group,10 October 2022,10 October 2022,PDF,1,1,0,1,0,0
Local Fighters Squad,30 July 2022,30 July 2022,PDF,1,1,0,0,3,0
Ma Noe Yone PDF,17 February 2023,17 February 2023,PDF,1,1,2,0,0,0
Mandalay People's Revolution PDF,17 July 2022,17 July 2022,PDF,1,1,0,0,0,0
Mayangone PDF,17 March 2023,17 March 2023,PDF,1,1,0,0,0,0
MCO LDF Army,29 April 2022,29 April 2022,PDF,1,1,0,0,0,0
Miyint Ma Kha STF,5 September 2022,5 September 2022,PDF,1,1,0,0,0,0
Mogaung Urban Guerrilla Force,31 January 2023,31 January 2023,PDF,1,1,0,0,0,0
Mohnyin Revolution Force (MRF),19 November 2022,19 November 2022,PDF,1,1,0,0,0,0
MON - S.O.F,1 May 2023,1 May 2023,PDF,1,1,0,0,0,0
Monywa Local Revolution Union - MLRU,9 March 2023,9 March 2023,PDF,1,1,0,0,0,0
MRRF (Myanmar Return Ranger Force),27 July 2022,27 July 2022,PDF,1,1,0,0,0,0
Muse People's Security and Defence Army - PSDA,14 November 2022,14 November 2022,PDF,1,1,0,0,0,0
Muse UG,1 August 2022,1 August 2022,PDF,1,2,0,0,0,0
Myanmar Revolution Hero Force (Mandalay),17 November 2022,17 November 2022,PDF,1,1,0,0,0,0
Myingyan Pituhoi-9 (MP-9),1 November 2022,1 November 2022,PDF,1,1,0,1,0,0
Namhsan GZ,5 July 2022,5 July 2022,PDF,1,1,0,0,0,0
Natogyi Guerrilla Force - NGF,7 May 2023,7 May 2023,PDF,1,1,0,0,2,0
Neutral Guerrilla Force,20 May 2022,20 May 2022,PDF,1,1,0,0,3,0
Never Give Up Fighter Force,22 June 2023,22 June 2023,PDF,1,1,0,0,1,0
No Chair Guerrilla Force,28 May 2022,28 May 2022,PDF,1,1,0,0,1,0
Northern District Special Task Force,29 May 2022,29 May 2022,PDF,1,1,0,0,0,0
NUG own troops,26 December 2022,26 December 2022,PDF,1,1,0,0,0,6
Okekan PDF,22 June 2022,22 June 2022,PDF,1,1,0,1,0,0
Pathein Western Defence Force (PWDF),4 May 2022,4 May 2022,PDF,1,1,0,1,0,0
Paung PDF,27 October 2022,27 October 2022,PDF,1,1,0,0,0,1
PDF - TNI,15 May 2022,15 May 2022,PDF,1,1,0,0,0,1
People's Defence Army No.501,8 May 2023,8 May 2023,PDF,1,1,0,0,0,0
Pyapon District People's Defence Force (Ayer Baydar),14 May 2022,14 May 2022,PDF,1,1,0,0,0,0
Saku PDF,2 May 2022,2 May 2022,PDF,1,1,0,0,0,0
Shadow Rangers Coalition Force,13 February 2023,13 February 2023,PDF,1,1,0,0,0,0
Shwe Nyaung PDF,7 December 2022,7 December 2022,PDF,1,1,0,0,0,0
Sidoktaya Guerrilla Force (SGF),27 June 2022,27 June 2022,PDF,1,1,0,0,2,0
Special Operation Force Squad - 3 (Third Squad) YGN,25 August 2022,25 August 2022,PDF,1,1,0,0,3,0
SYM UG PDF,24 June 2022,24 June 2022,PDF,1,1,0,0,2,0
T4 PDF,1 December 2022,1 December 2022,PDF,1,1,0,0,0,0
Takhin Ko Taw Hmaing Urban Guerrilla Force,10 December 2022,10 December 2022,PDF,1,1,0,0,0,0
Taung Latt People’s Defense Force- TLF PDF,15 April 2023,15 April 2023,PDF,1,1,0,1,0,0
Taunggyi PDF,27 June 2022,27 June 2022,PDF,1,1,0,0,0,0
Tayza Guerrilla PDF,17 October 2022,17 October 2022,PDF,1,1,0,0,0,0
Thanbyuzayat PDF,17 August 2022,17 August 2022,PDF,1,1,0,0,3,1
Thanlyin Dragon PDF (Bo Nagar PDF),28 April 2022,28 April 2022,PDF,1,1,0,2,0,0
Thaton Guerrilla Force,15 June 2022,15 June 2022,PDF,1,1,0,0,7,0
The Future Light Tanintharyi Division - TPDF,11 May 2023,11 May 2023,PDF,1,1,0,0,0,3
The King Peacock- LDF,30 March 2023,30 March 2023,PDF,1,1,3,0,0,0
The Salvation Revolters,24 October 2022,24 October 2022,PDF,1,1,0,0,0,0
Tiger One PDF,14 December 2022,14 December 2022,PDF,1,1,0,0,2,0
Tiger Ye-U Local PDF,12 December 2022,12 December 2022,PDF,1,1,0,0,5,0
TZ PDF - Sagaing,13 June 2023,13 June 2023,PDF,1,1,0,0,0,0
UG 47 PDF,6 July 2022,6 July 2022,PDF,1,1,0,0,0,0
UGF - MDY,28 March 2023,28 March 2023,PDF,1,1,0,1,0,0
Unknown criminals,9 May 2023,9 May 2023,Other,1,1,0,0,1,0
White Hawk Guerrilla Force,7 January 2023,7 January 2023,PDF,1,1,0,1,0,0
Wuntho People's Security Force,26 February 2023,26 February 2023,PDF,1,1,0,0,0,2
Y-PDF Yamethin,30 July 2022,30 July 2022,PDF,1,1,0,0,0,0
Y3 Underground Force,20 May 2022,20 May 2022,PDF,1,1,0,0,0,0
Yamethin PDF,1 July 2022,3 July 2022,PDF,1,2,0,0,0,0
Yangon Urban Special Operation Force,18 April 2023,18 April 2023,PDF,1,1,0,0,3,0
YDS - Yaw Lu Lin,13 October 2022,13 October 2022,PDF,1,1,0,0,2,0
Yinmarbin Township People's Administration,29 January 2023,29 January 2023,PDF,1,1,0,0,0,0
Zayar 7 – Sagaing ARA,17 December 2022,17 December 2022,PDF,1,1,0,0,5,0
Attack Ranger Force (ARF),12 November 2022,12 November 2022,PDF,1,1,0,0,0,0
Burma Final Revolution Armed Forces (BFRAF),23 December 2021,23 December 2021,PDF,1,1,0,0,0,0
Generation Z Power (GZP),8 May 2022,8 May 2022,PDF,1,1,0,0,0,0
Hero - Myaung PDF,19 April 2023,19 April 2023,PDF,1,1,0,0,0,1
Kyaunggon Special Task Force,5 November 2021,5 November 2021,PDF,1,1,0,0,0,0
Mandalay People Rescue (MPR),23 February 2022,23 February 2022,PDF,1,1,0,0,0,0
Mobile Local,27 May 2023,27 May 2023,PDF,1,1,0,0,0,0
Monywa People's Force - Support Team,23 December 2022,23 December 2022,PDF,1,1,0,0,0,0
Naga PDF,9 May 2022,9 May 2022,PDF,1,1,0,0,0,0
Nemesis Revolution Force - Yangon Region,2 December 2022,2 December 2022,PDF,1,1,0,0,0,0
Oktwin PDF,22 March 2023,22 March 2023,PDF,1,1,0,0,0,0
People Defence Force – Unity,3 December 2021,3 December 2021,PDF,1,1,0,0,0,0
People's Defense Organization - Mawlamyine,12 May 2022,12 May 2022,PDF,1,1,0,0,0,0
Southern Mon Urban Guerrilla Group,26 May 2022,26 May 2022,PDF,1,1,0,0,0,0
Taungoo Urban Revolution Force,1 May 2022,1 May 2022,PDF,1,1,0,0,0,0
TGK Guardians,16 September 2022,16 September 2022,PDF,1,1,0,0,0,0
Urban Gentlemen Force,20 September 2022,20 September 2022,PDF,1,1,0,0,0,0
Urban Task Force - Pindaya (UTF - P),9 May 2022,9 May 2022,PDF,1,1,0,0,0,0
Wolf Warriors Special Task Force (WWSTF),13 August 2022,13 August 2022,PDF,1,1,0,0,0,0
